id;Klient;Kwota;Pracownik;Czas
627;378;0,41;2;2017-09-11 16:44
628;675;1,74;2;2017-09-11 17:02
629;157;2,2;3;2017-09-11 17:19
630;151;1,13;3;2017-09-11 18:42
631;634;2,58;1;2017-09-11 19:01
632;449;0,77;1;2017-09-11 20:23
633;622;0,87;1;2017-09-11 21:38
634;186;1,74;2;2017-09-11 21:42
635;34;1,69;2;2017-09-11 22:39
636;644;3,37;1;2017-09-11 23:31
637;418;1,38;1;2017-09-12 00:21
638;52;2,65;1;2017-09-12 01:43
639;1;2,07;2;2017-09-12 03:01
640;245;2,75;3;2017-09-12 04:28
641;354;3,31;2;2017-09-12 05:11
642;100;2,39;1;2017-09-12 06:31
643;529;0,55;2;2017-09-12 06:42
644;502;1,59;2;2017-09-12 06:55
645;396;1,13;3;2017-09-12 07:11
646;383;0,69;1;2017-09-12 08:25
647;142;2,43;1;2017-09-12 09:43
648;334;3,05;1;2017-09-12 10:43
649;102;2,35;1;2017-09-12 11:47
650;615;0,73;2;2017-09-12 11:52
651;368;0,82;1;2017-09-12 12:40
652;172;2,08;3;2017-09-12 13:34
653;419;1,63;2;2017-09-12 13:45
654;111;1,38;2;2017-09-12 15:05
655;207;0,33;2;2017-09-12 16:01
656;646;0,67;2;2017-09-12 16:30
657;195;2,03;1;2017-09-12 17:36
658;496;0,29;1;2017-09-12 18:39
659;157;1,17;2;2017-09-12 20:07
660;350;1,51;3;2017-09-12 20:40
661;271;2,26;1;2017-09-12 21:55
662;468;3,06;3;2017-09-12 22:11
663;135;0,58;3;2017-09-12 23:41
664;311;0,28;1;2017-09-13 00:14
665;435;0,42;3;2017-09-13 00:57
